SID:010,B,AGOPA1A,,RW09L,RESMI,LF,P,X,X,X,X,X,0,X,X,X,X,X
SID:020,B,AGOPA1A,,,AGOPA,LF,P,X,X,X,X,X,0,X,X,X,X,X
SID:010,B,AGOPA1B,,RW09R,RESMI,LF,P,X,X,X,X,X,0,X,X,X,X,X
SID:020,B,AGOPA1B,,,AGOPA,LF,P,X,X,X,X,X,0,X,X,X,X,X
SID:010,B,BANUX5W,,RW27L,BANOX,LF,P,X,X,X,X,X,0,X,X,X,X,X
SID:020,B,BANUX5W,,,BANUX,LF,P,X,X,X,X,X,0,X,X,X,X,X
STAR:010,B,VEBA1B,GIVRI,,VEBAR,LF,E,X,X,X,X,X,0,X,X,X,X,X
STAR:020,B,VEBA1B,GIVRI,,GIVRI,LF,E,X,X,X,X,X,0,X,X,X,X,X
STAR:030,B,VEBA1B,,RW27R,LATRA,LF,E,X,X,X,X,X,0,X,X,X,X,X
APPCH:010,A,I27R,,RW27R,LATRA,LF,E,X,X,X,X,X,0,X,X,X,X,X
APPCH:020,A,I27R,,,KOLIV,LF,E,X,X,X,X,X,0,X,X,X,X,X
PRDAT:010,LFPG
RWY:RW09L,3000,...
