I
1100 Version - hand-crafted sample for West Africa airways
 6.916667    3.250000 POLTO ENRT BJ 4660001
 6.500000    1.000000 ENKIT ENRT GH 4660001
 6.700000    2.000000 EBUSO ENRT BJ 4660001
 5.700000   -3.500000 ARABA ENRT CI 4660001
 8.400000   -5.300000 BONTO ENRT CI 4660001
 7.500000    4.500000 KELIG ENRT NG 4660001
 8.700000    6.900000 MESES ENRT NG 4660001
 9.350000    6.450000 TEGDA ENRT NG 4660001
 8.700000    7.700000 VONUK ENRT NG 4660001
 8.500000    4.700000 USGUN ENRT NG 4660001
 9.700000    6.000000 MAGIA ENRT NG 4660001
99
